onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	2.0	0.0	66	6	F	1.0	3.0	3	3	4	1.0	1.0	1/4	True	2	1.0	1.0	0.0	0a	4	0	True	False				False	0	D.I	D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
2.0	6.0	1.0	50	2	D	0.0	1.0	1	3	4	3.0	1.0	3/4	True	2	2.0	2.0	1.0	1a	3	1	False	True				False	1	I	D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
2.0	6.0	1.0	50	2	D	0.0	1.0	1	3	4	4.0	1.0	3/4	True	2	2.0	2.0	1.0	1a	3	1	False	True				False	1	I	D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	0	0	0	True	True	True
2.0	4.0	1.0	57	3	A	0.0	1.0	1	3	4	2.0	1.0	1/2	True	2	2.0	2.0	1.0	1a	3	1	False	True				False	1	I	D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	1	1	1	True	False	False
2.0	6.0	1.0	66	6	F	1.0	1.0	1	3	4	1.0	1.0	3/4	True	2	2.0	2.0	1.0	1a	4	1	False	True				False	1	I	D	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	2	2	2	4	4	4	True	False	False
6.0	2.0	3.0	58	10	A	1.0	3.0	3	3	4	2.0	1.0	1/4	True	2	2.0	2.0	1.0	1a	3	3	False	True				False	2	I+	D	I		I+		I	+				+	False	False	(0, 4, 8)	()	0	0	major	major	I	I, major	I		I	I	False	I+	I+, major		I+, major		I	2	2	2	8	8	8	True	False	False
8.0	6.0	4.0	43	1	G	0.0	1.0	1	3	4	4.0	1.0	3/4	True	2	3.0	3.0	2.0	2a	2	4	False	True				False	3	IV	D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
8.0	6.0	4.0	55	1	G	0.0	1.0	1	3	4	3.0	1.0	3/4	True	2	3.0	3.0	2.0	2a	3	4	False	True				False	3	IV	D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	-1	-1	-1	True	True	True
8.0	6.0	4.0	59	5	B	0.0	1.0	1	3	4	2.0	1.0	3/4	True	2	3.0	3.0	2.0	2a	3	4	False	True				False	3	IV	D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	3	3	3	True	False	False
8.0	2.0	4.0	66	6	F	1.0	1.0	1	3	4	1.0	1.0	1/4	False	2	3.0	3.0	2.0	2a	4	4	False	True				False	3	IV	D	I		IV		IV					M	False	False	(-1, 3, 0)	()	-1	-1	major	major	I	I, major	IV		I	I	False	IV	IV, major		IV, major		IV	2	2	2	4	4	4	False	False	False
