onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	beat_float	downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
24.0	24.0	1.0	44	-4	A	-1.0	2.0	2	3	8	4.0	1.0	1/8	True		1.0	1.0	1.0	1a	2	1/2	False	False				False																																												
24.0	24.0	1.0	51	-3	E	-1.0	2.0	2	3	8	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1/2	False	False				False																																												
24.0	24.0	1.0	56	-4	A	-1.0	2.0	2	3	8	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1/2	False	False				False																																												
24.0	24.0	1.0	60	0	C	0.0	2.0	2	3	8	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1/2	False	False				False																																												
48.0	24.0	2.0	44	-4	A	-1.0	3.0	3	3	8	4.0	1.0	1/8	True		1.0	1.0	1.0	1a	2	1	False	False				False																																												
48.0	24.0	2.0	51	-3	E	-1.0	3.0	3	3	8	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1	False	False				False																																												
48.0	24.0	2.0	56	-4	A	-1.0	3.0	3	3	8	3.0	1.0	1/8	True		1.0	1.0	1.0	1a	3	1	False	False				False																																												
48.0	24.0	2.0	60	0	C	0.0	3.0	3	3	8	2.0	1.0	1/8	True		1.0	1.0	1.0	1a	4	1	False	False				False																																												
72.0	72.0	3.0	44	-4	A	-1.0	1.0	1	3	8	4.0	1.0	3/8	True	-4	2.0	2.0	2.0	2a	2	3/2	False	False				False																																												
72.0	36.0	3.0	51	-3	E	-1.0	1.0	1	3	8	3.0	1.0	3/16	True	-4	2.0	2.0	2.0	2a	3	3/2	False	False				False																																												
72.0	24.0	3.0	60	0	C	0.0	1.0	1	3	8	2.0	1.0	1/8	True	-4	2.0	2.0	2.0	2a	4	3/2	False	False				False																																												
72.0	48.0	3.0	84	0	C	0.0	1.0	1	3	8	1.0	1.0	1/4	True	-4	2.0	2.0	2.0	2a	6	3/2	False	False				False																																												
96.0	24.0	4.0	68	-4	A	-1.0	2.0	2	3	8	2.0	1.0	1/8	True	-4	2.0	2.0	2.0	2a	4	2	False	False				False																																												
108.0	12.0	4.5	52	4	E	0.0	2.5	0	3	8	3.0	1.0	1/16	True	-4	2.0	2.0	2.0	2a	3	9/4	False	False				False																																												
