onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	24	46	-2	B	-1	2	4	4	1	True	1.0	-2	1	1	1	1a	0	1/4	True	2	True				False	0	Bb.I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	0	0	0	True	True	True
0	24	53	-1	F	0	2	4	3	1	True	1.0	-2	1	1	1	1a	0	1/4	True	3	True				False	0	Bb.I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	1	1	1	True	False	False
0	12	58	-2	B	-1	2	4	2	1	True	1.0	-2	1	1	1	1a	0	1/8	True	3	True				False	0	Bb.I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	0	0	0	True	True	True
0	24	58	-2	B	-1	2	4	1	1	True	1.0	-2	1	1	1	1a	0	1/4	True	3	True				False	0	Bb.I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	0	0	0	True	True	True
12	12	62	2	D	0	2	4	2	1	True	1.5	-2	1	1	1	1a	1/2	1/8	False	4	False				False	0	Bb.I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	4	4	4	True	False	False
24	12	45	3	A	0	2	4	4	1	True	2.0	-2	1	1	1	1a	1	1/8	False	2	True				False	1	V65	Bb	I		V65		V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-2	-2	-2	5	5	5	True	False	True
24	12	53	-1	F	0	2	4	3	1	True	2.0	-2	1	1	1	1a	1	1/8	False	3	True				False	1	V65	Bb	I		V65		V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-2	-2	-2	1	1	1	True	True	False
24	12	60	0	C	0	2	4	1	1	True	2.0	-2	1	1	1	1a	1	1/8	False	4	True				False	1	V65	Bb	I		V65		V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-2	-2	-2	2	2	2	True	False	False
24	12	63	-3	E	-1	2	4	2	1	True	2.0	-2	1	1	1	1a	1	1/8	False	4	True				False	1	V65	Bb	I		V65		V		65			Mm7	False	False	(5, 2, -1, 1)	()	1	5	major	major	I	I, major	V		I	I	False	V65	V65, major		V65, major		V	-2	-2	-2	-1	-1	-1	True	False	False
36	12	46	-2	B	-1	2	4	4	1	True	2.5	-2	1	1	1	1a	3/2	1/8	False	2	True				False	2	I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	0	0	0	True	True	True
36	12	53	-1	F	0	2	4	3	1	True	2.5	-2	1	1	1	1a	3/2	1/8	False	3	True				False	2	I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	1	1	1	True	False	False
36	12	58	-2	B	-1	2	4	1	1	True	2.5	-2	1	1	1	1a	3/2	1/8	False	3	True				False	2	I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	0	0	0	True	True	True
36	12	62	2	D	0	2	4	2	1	True	2.5	-2	1	1	1	1a	3/2	1/8	False	4	True				False	2	I	Bb	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-2	-2	-2	4	4	4	True	False	False
48	18	41	-1	F	0	2	4	4	1	True	1.0	-2	2	2	2	2a	2	3/16	False	2	True				False	3	V7	Bb	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	-2	-2	-2	1	1	1	True	True	True
48	24	53	-1	F	0	2	4	3	1	True	1.0	-2	2	2	2	2a	2	1/4	False	3	True				False	3	V7	Bb	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	-2	-2	-2	1	1	1	True	True	True
48	24	57	3	A	0	2	4	1	1	True	1.0	-2	2	2	2	2a	2	1/4	False	3	True				False	3	V7	Bb	I		V7		V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	-2	-2	-2	5	5	5	True	False	False
