onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	48	60	0	C	0	3	4	4	1	True	1.0	0	1	1	1	1a	0	1/2	True	4	True				False	0		C.I	C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
0	48	64	4	E	0	3	4	3	1	True	1.0	0	1	1	1	1a	0	1/2	True	4	True				False	0		C.I	C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	4	4	4	True	False	False
0	48	67	1	G	0	3	4	2	1	True	1.0	0	1	1	1	1a	0	1/2	True	4	True				False	0		C.I	C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	1	1	1	True	False	False
0	48	72	0	C	0	3	4	1	1	True	1.0	0	1	1	1	1a	0	1/2	True	5	True				False	0		C.I	C	I		I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	0	0	0	0	0	0	True	True	True
48	6	62	2	D	0	3	4	4	1	True	3.0	0	1	1	1	1a	2	1/16	False	4	True				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	2	2	2	True	False	True
48	6	65	-1	F	0	3	4	3	1	True	3.0	0	1	1	1	1a	2	1/16	False	4	True				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	-1	-1	-1	True	False	False
48	6	67	1	G	0	3	4	2	1	True	3.0	0	1	1	1	1a	2	1/16	False	4	True				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	1	1	1	True	True	False
48	6	71	5	B	0	3	4	1	1	True	3.0	0	1	1	1	1a	2	1/16	False	4	True				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	5	5	5	True	False	False
54	6	60	0	C	0	3	4	4	1	True	3.25	0	1	1	1	1a	9/4	1/16	False	4	False				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	0	0	0	False	False	False
54	6	64	4	E	0	3	4	3	1	True	3.25	0	1	1	1	1a	9/4	1/16	False	4	False				False	1		V43	C	I		V43		V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	0	0	0	4	4	4	False	False	False
