onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	6	40	4	E	0	3	4	4	1	True	1.0	1	1	1	1	1a	0	1/4	True	2	True				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
0	6	55	1	G	0	3	4	3	1	True	1.0	1	1	1	1	1a	0	1/4	True	3	True				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
0	6	59	5	B	0	3	4	2	1	True	1.0	1	1	1	1	1a	0	1/4	True	3	True				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
0	3	64	4	E	0	3	4	1	1	True	1.0	1	1	1	1	1a	0	1/8	True	4	True				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
3	3	71	5	B	0	3	4	1	1	True	1.5	1	1	1	1	1a	1/2	1/8	False	4	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
6	9	76	4	E	0	3	4	1	1	True	2.0	1	1	1	1	1a	1	3/8	False	5	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
9	3	64	4	E	0	3	4	3	1	True	2.5	1	1	1	1	1a	3/2	1/8	False	4	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
9	3	67	1	G	0	3	4	2	1	True	2.5	1	1	1	1	1a	3/2	1/8	False	4	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
12	3	64	4	E	0	3	4	3	1	True	3.0	1	1	1	1	1a	2	1/8	False	4	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
12	3	67	1	G	0	3	4	2	1	True	3.0	1	1	1	1	1a	2	1/8	False	4	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
15	3	79	1	G	0	3	4	1	1	True	3.5	1	1	1	1	1a	5/2	1/8	False	5	False				False	0		e.i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
18	6	47	5	B	0	3	4	4	1	True	1.0	1	2	2	2	2a	3	1/4	True	2	True				False	1		V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	1	1	1	True	True	True
21	3	78	6	F	1	3	4	1	1	True	1.5	1	2	2	2	2a	7/2	1/8	False	5	False				False	1		V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	2	2	2	True	False	False
24	9	75	9	D	1	3	4	1	1	True	2.0	1	2	2	2	2a	4	3/8	False	5	False				False	1		V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	5	5	5	True	False	False
27	3	63	9	D	1	3	4	3	1	True	2.5	1	2	2	2	2a	9/2	1/8	False	4	False				False	1		V	e	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	4	4	4	5	5	5	True	False	False
