onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	68	8	G	1	2	2	1	1	True	2.5	4	1	0	1	0a	0	1/4	True	4	True				False	0	c#.i64	c#	i		i64		i		64			m	True	True	(1, 0, -3)	()	0	1	minor	minor	i	i, minor	i		i	i	True	i64	i64, minor		i64, minor		i	7	7	7	1	1	1	True	False	True
4	8	72	12	B	1	2	2	1	1	True	1.0	4	2	1	2	1a	1	1/2	False	4	True				False	1	V6	c#	i		V6		V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	7	7	7	5	5	5	True	False	True
12	8	73	7	C	1	2	2	1	1	True	2.0	4	2	1	2	1a	3	1/2	False	5	True				False	2	i	c#	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	7	7	7	0	0	0	True	True	True
20	12	69	3	A	0	2	2	1	1	True	1.0	4	3	2	3	2a	5	3/4	False	4	True				False	3	iv6	c#	i		iv6		iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	7	7	7	-4	-4	-4	True	False	True
32	4	68	8	G	1	2	2	1	1	True	2.5	4	3	2	3	2a	8	1/4	False	4	True				False	4	i64	c#	i		i64		i		64			m	True	True	(1, 0, -3)	()	0	1	minor	minor	i	i, minor	i		i	i	True	i64	i64, minor		i64, minor		i	7	7	7	1	1	1	True	False	True
36	4	66	6	F	1	2	2	1	1	True	1.0	4	4	3	4	3a	9	1/4	False	4	True				False	5	iv	c#	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	7	7	7	-1	-1	-1	True	True	True
40	4	69	3	A	0	2	2	1	1	True	1.5	4	4	3	4	3a	10	1/4	False	4	False				False	5	iv	c#	i		iv		iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	7	7	7	-4	-4	-4	True	False	False
44	4	68	8	G	1	2	2	1	1	True	2.0	4	4	3	4	3a	11	1/4	False	4	True				False	6	V7	c#	i		V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	7	7	7	1	1	1	True	True	True
48	4	66	6	F	1	2	2	1	1	True	2.5	4	4	3	4	3a	12	1/4	False	4	False				False	6	V7	c#	i		V7		V		7			Mm7	True	True	(1, 5, 2, -1)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V7	V7, minor		V7, minor		V	7	7	7	-1	-1	-1	True	False	False
52	4	64	4	E	0	2	2	1	1	True	1.0	4	5	4	5	4a	13	1/4	False	4	True				False	7	i6	c#	i		i6		i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	7	7	7	-3	-3	-3	True	False	True
